"","NRI_ID","STATE","STATEABBRV","COUNTY","AVLN_risk","CFLD_risk","CWAV_risk","DRGT_risk","ERQK_risk","HAIL_risk","HWAV_risk","HRCN_risk","ISTM_risk","LNDS_risk","LTNG_risk","RFLD_risk","SWND_risk","TRND_risk","TSUN_risk","VLCN_risk","WFIR_risk","WNTW_risk"
"1","C01001","Alabama","AL","Autauga",1,1,3,3,2,3,2,2,3,2,4,2,2,2,1,1,2,2
"2","C01003","Alabama","AL","Baldwin",1,4,3,2,2,2,2,4,2,2,5,3,2,3,1,1,3,2
"3","C01005","Alabama","AL","Barbour",1,1,3,3,2,2,2,3,2,2,4,2,2,3,1,1,2,2
"4","C01007","Alabama","AL","Bibb",1,1,3,3,2,3,2,2,3,2,4,2,2,3,1,1,2,2
"5","C01009","Alabama","AL","Blount",1,1,3,3,2,3,2,2,3,2,4,2,4,3,1,1,2,2
"6","C01011","Alabama","AL","Bullock",1,1,3,3,2,3,2,3,3,2,4,2,2,3,1,1,2,2
"7","C01013","Alabama","AL","Butler",1,1,3,3,2,2,2,3,2,2,4,2,2,3,1,1,2,2
"8","C01015","Alabama","AL","Calhoun",1,1,3,3,2,3,2,2,2,2,4,2,3,2,1,1,2,2
"9","C01017","Alabama","AL","Chambers",1,1,3,3,2,3,2,2,3,2,4,2,2,2,1,1,2,2
"10","C01019","Alabama","AL","Cherokee",1,1,3,3,2,3,2,2,3,2,4,2,3,2,1,1,2,2
"11","C01021","Alabama","AL","Chilton",1,1,3,3,2,3,2,2,2,2,4,2,2,3,1,1,2,2
"12","C01023","Alabama","AL","Choctaw",1,1,3,2,2,3,2,3,3,2,4,2,3,3,1,1,2,2
"13","C01025","Alabama","AL","Clarke",1,2,3,2,2,3,2,3,3,2,4,2,2,3,1,1,2,2
"14","C01027","Alabama","AL","Clay",1,1,3,3,2,3,2,2,2,2,4,2,2,2,1,1,2,2
"15","C01029","Alabama","AL","Cleburne",1,1,3,3,2,3,2,2,2,2,4,2,3,2,1,1,2,2
"16","C01031","Alabama","AL","Coffee",1,1,3,3,2,2,2,3,2,2,4,2,2,3,1,1,2,2
"17","C01033","Alabama","AL","Colbert",1,1,3,2,2,3,2,2,3,2,4,3,4,3,1,1,2,2
"18","C01035","Alabama","AL","Conecuh",1,1,3,2,2,2,2,3,2,2,4,2,2,3,1,1,2,2
"19","C01037","Alabama","AL","Coosa",1,1,3,3,2,3,2,2,2,2,4,2,2,3,1,1,2,2
"20","C01039","Alabama","AL","Covington",1,1,3,3,2,2,2,3,2,2,4,2,3,3,1,1,2,2
"21","C01041","Alabama","AL","Crenshaw",1,1,3,3,2,2,2,3,2,2,4,2,2,2,1,1,2,2
"22","C01043","Alabama","AL","Cullman",1,1,3,3,2,3,2,2,3,2,4,2,4,3,1,1,2,2
"23","C01045","Alabama","AL","Dale",1,1,3,3,2,2,2,3,2,2,4,2,2,2,1,1,2,2
"24","C01047","Alabama","AL","Dallas",1,1,3,3,2,3,2,2,2,2,4,2,2,3,1,1,2,2
"25","C01049","Alabama","AL","DeKalb",1,1,3,3,2,3,2,2,3,2,4,2,4,3,1,1,2,2
"26","C01051","Alabama","AL","Elmore",1,1,3,3,2,3,2,2,3,2,4,2,2,3,1,1,2,2
"27","C01053","Alabama","AL","Escambia",1,1,3,2,2,2,2,3,2,2,4,2,3,3,1,1,2,2
"28","C01055","Alabama","AL","Etowah",1,1,3,3,2,3,2,2,3,2,4,2,3,3,1,1,2,2
"29","C01057","Alabama","AL","Fayette",1,1,3,3,2,3,2,2,3,2,4,2,3,3,1,1,2,2
"30","C01059","Alabama","AL","Franklin",1,1,3,2,2,3,2,2,3,2,4,2,4,3,1,1,2,2
"31","C01061","Alabama","AL","Geneva",1,1,3,3,2,2,2,3,2,2,4,2,2,2,1,1,2,2
"32","C01063","Alabama","AL","Greene",1,1,3,3,2,3,2,2,3,2,4,2,2,3,1,1,2,2
"33","C01065","Alabama","AL","Hale",1,1,3,3,2,3,2,2,3,2,4,2,2,3,1,1,2,2
"34","C01067","Alabama","AL","Henry",1,1,3,3,2,2,2,3,2,2,4,2,2,2,1,1,2,2
"35","C01069","Alabama","AL","Houston",1,1,3,3,2,2,2,4,2,2,4,2,2,2,1,1,2,2
"36","C01071","Alabama","AL","Jackson",1,1,3,3,2,3,2,2,3,2,4,2,4,4,1,1,2,2
"37","C01073","Alabama","AL","Jefferson",1,1,3,3,2,3,2,2,3,2,4,3,3,4,1,1,2,2
