"","NRI_ID","STATE","STATEABBRV","COUNTY","AVLN_risk","CFLD_risk","CWAV_risk","DRGT_risk","ERQK_risk","HAIL_risk","HWAV_risk","HRCN_risk","ISTM_risk","LNDS_risk","LTNG_risk","RFLD_risk","SWND_risk","TRND_risk","TSUN_risk","VLCN_risk","WFIR_risk","WNTW_risk"
"1","C01001","Alabama","AL","Autauga","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"2","C01003","Alabama","AL","Baldwin","Very Low","High","Middle","Low","Low","Low","Low","High","Low","Low","Very High","Middle","Low","Middle","Very Low","Very Low","Middle","Low"
"3","C01005","Alabama","AL","Barbour","Very Low","Very Low","Middle","Middle","Low","Low","Low","Middle","Low","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"4","C01007","Alabama","AL","Bibb","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"5","C01009","Alabama","AL","Blount","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","High","Middle","Very Low","Very Low","Low","Low"
"6","C01011","Alabama","AL","Bullock","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Middle","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"7","C01013","Alabama","AL","Butler","Very Low","Very Low","Middle","Middle","Low","Low","Low","Middle","Low","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"8","C01015","Alabama","AL","Calhoun","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Low","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"9","C01017","Alabama","AL","Chambers","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"10","C01019","Alabama","AL","Cherokee","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"11","C01021","Alabama","AL","Chilton","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Low","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"12","C01023","Alabama","AL","Choctaw","Very Low","Very Low","Middle","Low","Low","Middle","Low","Middle","Middle","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"13","C01025","Alabama","AL","Clarke","Very Low","Low","Middle","Low","Low","Middle","Low","Middle","Middle","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"14","C01027","Alabama","AL","Clay","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Low","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"15","C01029","Alabama","AL","Cleburne","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Low","Low","High","Low","Middle","Low","Very Low","Very Low","Low","Low"
"16","C01031","Alabama","AL","Coffee","Very Low","Very Low","Middle","Middle","Low","Low","Low","Middle","Low","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"17","C01033","Alabama","AL","Colbert","Very Low","Very Low","Middle","Low","Low","Middle","Low","Low","Middle","Low","High","Middle","High","Middle","Very Low","Very Low","Low","Low"
"18","C01035","Alabama","AL","Conecuh","Very Low","Very Low","Middle","Low","Low","Low","Low","Middle","Low","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"19","C01037","Alabama","AL","Coosa","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Low","Low","High","Low","Low","Middle","Very Low","Very Low","Low","Low"
"20","C01039","Alabama","AL","Covington","Very Low","Very Low","Middle","Middle","Low","Low","Low","Middle","Low","Low","High","Low","Middle","Middle","Very Low","Very Low","Low","Low"
"21","C01041","Alabama","AL","Crenshaw","Very Low","Very Low","Middle","Middle","Low","Low","Low","Middle","Low","Low","High","Low","Low","Low","Very Low","Very Low","Low","Low"
"22","C01043","Alabama","AL","Cullman","Very Low","Very Low","Middle","Middle","Low","Middle","Low","Low","Middle","Low","High","Low","High","Middle","Very Low","Very Low","Low","Low"
