NRI_ID,STATE,STATEABBRV,COUNTY,AVLN_AFREQ,CFLD_AFREQ,CWAV_AFREQ,DRGT_AFREQ,ERQK_AFREQ,HAIL_AFREQ,HWAV_AFREQ,HRCN_AFREQ,ISTM_AFREQ,LNDS_AFREQ,LTNG_AFREQ,RFLD_AFREQ,SWND_AFREQ,TRND_AFREQ,TSUN_AFREQ,VLCN_AFREQ,WFIR_AFREQ,WNTW_AFREQ
C01001,Alabama,AL,Autauga,-9999,-9999,0,25.96977432,0.000431448,2.806764149,0.371517028,0.080450364,0.402025019,0.01,78.93805159,1.083333333,1.297309812,0.480184123,-9999,-9999,3.47E-05,0.433436533
C01003,Alabama,AL,Baldwin,-9999,3.684141916,0,12.35344244,0.000337736,1.529255708,0.939761471,0.248233296,0.19199556,0.010560308,142.2318754,2.708333333,1.839032435,0.953139931,-9999,-9999,0.002228838,0.182758512
C01005,Alabama,AL,Barbour,-9999,-9999,0,43.95695292,0.000227048,1.908785008,0.371517028,0.11639834,0.393288466,0.01,74.65509191,0.25,1.456484835,0.739018403,-9999,-9999,3.83E-05,0.185758514
C01007,Alabama,AL,Bibb,-9999,-9999,0,28.89450124,0.000790238,3.447867669,0.371517028,0.066723939,0.413093786,0.01,84.58902944,0.666666667,1.457584971,0.586159594,-9999,-9999,4.00E-05,0.743034056
C01009,Alabama,AL,Blount,-9999,-9999,0,28.15259762,0.000816916,5.101344031,0.371517028,0.039238212,0.509665195,0.01,88.77765327,1.166666667,4.286763313,0.710331711,-9999,-9999,3.51E-05,0.866873065
C01011,Alabama,AL,Bullock,-9999,-9999,0,42.70886464,0.000402969,2.344829587,0.371517028,0.123757622,0.493817262,0.01,72.06221942,0.333333333,1.514519429,0.557943495,-9999,-9999,7.36E-05,0.247678019
C01013,Alabama,AL,Butler,-9999,-9999,0,20.66156072,0.000370853,1.744002919,0.495356037,0.124739961,0.229932519,0.01,85.68409642,0.5,1.682298209,0.579694457,-9999,-9999,3.38E-05,0.185758514
C01015,Alabama,AL,Calhoun,-9999,-9999,0,29.34202799,0.000740531,5.16843356,0.309597523,0.040664206,0.280710706,0.010562597,88.21157602,1,2.784027001,0.4973379,-9999,-9999,3.45E-05,1.052631579
C01017,Alabama,AL,Chambers,-9999,-9999,0,57.93558023,0.000447361,3.823913075,0.371517028,0.088928855,0.515826674,0.01,61.69330534,0.75,1.182361437,0.436672653,-9999,-9999,0.000135346,0.557275542
C01019,Alabama,AL,Cherokee,-9999,-9999,0,30.62982033,0.001097699,5.347451887,0.309597523,0.032073145,0.421405616,0.01,77.24664095,0.791666667,2.946140795,0.442734835,-9999,-9999,3.06E-05,0.92879257
C01021,Alabama,AL,Chilton,-9999,-9999,0,30.41482505,0.000616727,3.27132092,0.371517028,0.075570783,0.387319353,0.01,82.86770732,0.458333333,1.417356182,0.628121022,-9999,-9999,0.000120203,0.681114551
C01023,Alabama,AL,Choctaw,-9999,-9999,0,12.30444402,0.000485392,2.924096735,0.557275542,0.147449734,0.60037433,0.01,95.91478129,1.375,2.219473302,0.764598093,-9999,-9999,8.57E-05,0.433436533
C01025,Alabama,AL,Clarke,-9999,0.01,0,13.42659463,0.00034265,2.027407673,0.56188964,0.180922693,0.421480736,0.01,102.7504656,1.208333333,1.921767718,0.74228992,-9999,-9999,0.000280012,0.372670552
C01027,Alabama,AL,Clay,-9999,-9999,0,48.02852555,0.000528991,4.275082324,0.371517028,0.062550956,0.379976041,0.01,81.16768714,0.708333333,1.676898856,0.47355369,-9999,-9999,0.000389308,0.990712074
C01029,Alabama,AL,Cleburne,-9999,-9999,0,37.19339819,0.000588505,5.025184027,0.309597523,0.048147424,0.298744564,0.01,69.57375297,0.375,2.115364433,0.430849935,-9999,-9999,0.00049935,1.114551084
