Removal Class Meaning,Species Class,Product Meaning,總值,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Roundwood product,Softwood,Bioenergy/Fuelwood,5218524,340423,21713,83130,54785,769655,96535,,,377137,947616,68602,,,,,5557,201783,44373,,,15687,8487,359139,667,49833,,26602,,,46899,,385127,,,,188992,,,381375,,2757,58082,16190,,428887,212340,,1310,24840
,,Composite panel,3760584,566335,,842,94073,1550,,,,68929,1183011,,,,,,6463,127195,,,,19774,3242,130025,,,,,,,,,250505,,,6313,1443,268,,655968,,19606,330978,21,,291366,,,2426,252
,,House logs,2961,,,,,,,,,,,,,,,,,,,,,535,156,,,291,,,,,,,,,,,,,,,,,,,514,,,,1180,285
,,Miscellaneous,5528673,179167,147170,3182,533075,36864,4696,1710,4057,585644,237734,44008,,285,,,57782,498806,94,18510,,2279,8878,405503,1589,22846,740,,,,5822,31123,336001,,13226,453145,19912,997,,102633,1315,172228,1011660,7219,11704,541373,2221,21431,162,1880
,,Poles,157674,,,,,,,,,9623,97016,,,,,,,10049,,,,,,,,,,,,,,,,,,,,,,37323,,,,,,3663,,,,
,,"Poles, Posts, Pilings",1100297,137743,,2622,19659,10995,10112,,,87002,276542,21469,,49,,,2950,50859,,,,15668,835,7034,2140,18085,23,30,,,2890,,30296,,,32420,27328,,,128601,3615,5543,39982,2988,,45256,111233,,1611,4715
,,Posts,34361,,,,,,,,,4587,17378,,,,,,4294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8102,,,,
,,Pulpwood,43037014,6628609,44872,4099,2439427,,,,,3768683,8142266,98856,,,,,22875,3970621,81549,,,53374,61841,4740669,,78811,,,,,3555,,3323870,,,99740,374600,6931,,4296838,,807707,1529857,,,1729192,642014,,86158,
,,Saw logs,50513199,5477845,144578,71272,3638603,1900395,64407,1645,5383,2393762,6660012,992115,336,1088,94,93,107412,2425875,260404,12174,16122,108332,54594,4499717,12196,625738,2163,2796,109501,381,50626,24935,4225791,1,2202,554371,3320865,15511,720,3913314,38566,263294,2604817,21041,27328,1900196,3762722,1423,123441,73003
,,Veneer logs,9217253,787229,,,489201,155272,,,,176458,765693,76806,,11,,,668,1768836,,,,659,,927207,,104309,,,,,,,563831,,14,32851,796910,,,559238,,5247,1568328,,,66416,371563,,507,
,,總計,118570541,14117351,358333,165148,7268824,2874731,175750,3356,9440,7471825,18327268,1301855,336,1433,94,93,208001,9054025,386420,30684,16122,216307,138033,11069294,16592,899914,2927,29428,109501,381,109793,56057,9115421,1,15442,1178840,4730049,23707,720,10075290,43496,1276382,7143704,47459,39546,5014450,5102093,22854,216797,104975
,Hardwood,Bioenergy/Fuelwood,1733666,108013,11362,9482,14886,107889,21638,,,158421,254200,1962,,,,,19740,14929,39775,,,26179,23225,16979,11251,3722,,93,,,7332,,415278,,,,25613,4077,,138585,,23569,5260,4122,,226168,31884,,5310,2722
